Movie Name,Movie date
Der Zauberer von Oz,(1939)
Apus Weg ins Leben - 1.: Auf der Straße,(1955)
Und täglich grüßt das Murmeltier,(1993)
Die besten Jahre unseres Lebens,(1946)
Der Exorzist,(1973)
Die Unglaublichen,(2004)
Sein oder Nichtsein,(1942)
Hass,(1995)
Fluch der Karibik,(2003)
Schlacht um Algier,(1966)
Hachiko - Eine wunderbare Freundschaft,(2009)
Früchte des Zorns,(1940)
Jai Bhim,(2021)
Mein Vater und mein Sohn,(2005)
Amores perros,(2000)
Rebecca,(1940)
Der Unbeugsame,(1967)
Die Taschendiebin,(2016)
Sie küßten und sie schlugen ihn,(1959)
"Meine Lieder, meine Träume",(1965)
Es geschah in einer Nacht,(1934)
Persona,(1966)
Das Leben des Brian,(1979)
Der Gigant aus dem All,(1999)
"Uzala, der Kirgise",(1975)
The Help,(2011)
Aladdin,(1992)
Gandhi,(1982)
Der mit dem Wolf tanzt,(1990)
